Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
14 Murcia, Región de;Hombres;De 10 a 14 años;2010;34
14 Murcia, Región de;Hombres;De 15 a 19 años;2010;48,04
14 Murcia, Región de;Hombres;De 20 a 24 años;2010;58,5
14 Murcia, Región de;Hombres;De 25 a 29 años;2010;38,73
14 Murcia, Región de;Hombres;De 30 a 34 años;2010;27,21
14 Murcia, Región de;Hombres;De 35 a 39 años;2010;22,95
14 Murcia, Región de;Hombres;De 40 a 44 años;2010;20,26
14 Murcia, Región de;Hombres;De 45 a 49 años;2010;22,18
14 Murcia, Región de;Hombres;De 50 a 54 años;2010;26,69
14 Murcia, Región de;Hombres;De 55 a 59 años;2010;39,55
14 Murcia, Región de;Hombres;De 60 a 64 años;2010;59,13
14 Murcia, Región de;Hombres;De 65 a 69 años;2010;49,07
14 Murcia, Región de;Hombres;De 70 a 74 años;2010;37,2
14 Murcia, Región de;Hombres;75 y más años;2010;22,77
14 Murcia, Región de;Mujeres;De 10 a 14 años;2010;28,57
14 Murcia, Región de;Mujeres;De 15 a 19 años;2010;52,73
14 Murcia, Región de;Mujeres;De 20 a 24 años;2010;73,49
14 Murcia, Región de;Mujeres;De 25 a 29 años;2010;43,68
14 Murcia, Región de;Mujeres;De 30 a 34 años;2010;30,4
14 Murcia, Región de;Mujeres;De 35 a 39 años;2010;26,59
14 Murcia, Región de;Mujeres;De 40 a 44 años;2010;25,46
14 Murcia, Región de;Mujeres;De 45 a 49 años;2010;36,12
14 Murcia, Región de;Mujeres;De 50 a 54 años;2010;45,04
14 Murcia, Región de;Mujeres;De 55 a 59 años;2010;56,87
14 Murcia, Región de;Mujeres;De 60 a 64 años;2010;55,26
14 Murcia, Región de;Mujeres;De 65 a 69 años;2010;39,27
14 Murcia, Región de;Mujeres;De 70 a 74 años;2010;34,3
14 Murcia, Región de;Mujeres;75 y más años;2010;49,87
15 Navarra, Comunidad Foral de;Hombres;De 10 a 14 años;2010;72,91
15 Navarra, Comunidad Foral de;Hombres;De 15 a 19 años;2010;107,02
15 Navarra, Comunidad Foral de;Hombres;De 20 a 24 años;2010;92,66
15 Navarra, Comunidad Foral de;Hombres;De 25 a 29 años;2010;65,05
15 Navarra, Comunidad Foral de;Hombres;De 30 a 34 años;2010;40,13
15 Navarra, Comunidad Foral de;Hombres;De 35 a 39 años;2010;30,58
15 Navarra, Comunidad Foral de;Hombres;De 40 a 44 años;2010;23,91
15 Navarra, Comunidad Foral de;Hombres;De 45 a 49 años;2010;26,9
15 Navarra, Comunidad Foral de;Hombres;De 50 a 54 años;2010;32,69
15 Navarra, Comunidad Foral de;Hombres;De 55 a 59 años;2010;39,26
15 Navarra, Comunidad Foral de;Hombres;De 60 a 64 años;2010;74,88
15 Navarra, Comunidad Foral de;Hombres;De 65 a 69 años;2010;80,64
15 Navarra, Comunidad Foral de;Hombres;De 70 a 74 años;2010;51,71
15 Navarra, Comunidad Foral de;Hombres;75 y más años;2010;75,7
15 Navarra, Comunidad Foral de;Mujeres;De 10 a 14 años;2010;60,09
15 Navarra, Comunidad Foral de;Mujeres;De 15 a 19 años;2010;130,17
15 Navarra, Comunidad Foral de;Mujeres;De 20 a 24 años;2010;117,71
15 Navarra, Comunidad Foral de;Mujeres;De 25 a 29 años;2010;72,7
15 Navarra, Comunidad Foral de;Mujeres;De 30 a 34 años;2010;45,21
15 Navarra, Comunidad Foral de;Mujeres;De 35 a 39 años;2010;42,57
15 Navarra, Comunidad Foral de;Mujeres;De 40 a 44 años;2010;46,12
15 Navarra, Comunidad Foral de;Mujeres;De 45 a 49 años;2010;47,53
15 Navarra, Comunidad Foral de;Mujeres;De 50 a 54 años;2010;69,72
15 Navarra, Comunidad Foral de;Mujeres;De 55 a 59 años;2010;85,14
15 Navarra, Comunidad Foral de;Mujeres;De 60 a 64 años;2010;62,03
15 Navarra, Comunidad Foral de;Mujeres;De 65 a 69 años;2010;107,48
15 Navarra, Comunidad Foral de;Mujeres;De 70 a 74 años;2010;100,08
15 Navarra, Comunidad Foral de;Mujeres;75 y más años;2010;35,62
16 País Vasco;Hombres;De 10 a 14 años;2010;109,45
16 País Vasco;Hombres;De 15 a 19 años;2010;122,76
16 País Vasco;Hombres;De 20 a 24 años;2010;112,23
16 País Vasco;Hombres;De 25 a 29 años;2010;79,05
16 País Vasco;Hombres;De 30 a 34 años;2010;51,44
16 País Vasco;Hombres;De 35 a 39 años;2010;41,97
